year,start,end,variable
17,2,2,BORO
17,538,546,FW
17,459,465,INC
17,445,449,RENT
14,2,2,BORO
14,538,546,FW
14,459,465,INC
14,445,449,RENT
11,2,2,BORO
11,538,546,FW
11,459,465,INC
11,445,449,RENT
08,2,2,BORO
08,538,546,FW
08,458,464,INC
08,445,448,RENT
05,2,2,BORO
05,377,385,FW
05,301,307,INC
05,288,291,RENT
02,2,2,BORO
02,325,333,FW
02,251,257,INC
02,238,241,RENT
96,2,2,BORO
96,282,290,FW
96,215,220,INC
96,196,199,RENT
93,2,2,BORO
93,282,290,FW
93,215,220,INC
93,196,199,RENT
91,2,2,BORO
91,338,346,FW
91,215,220,INC
91,196,199,RENT